,words,label
0,snuff,1
1,perfum,0
3,d,0
4,with,0
5,flowers,1
6,nan,0
7,the,0
8,flowers,1
9,much,0
10,used,0
11,for,0
12,perfuming,0
13,snuff,1
15,are,0
16,orange-flower,0
17,water,0
19,jasmin,0
21,common,0
22,roses,0
24,musqued,0
25,roses,0
26,and,0
27,tuberoses,0
29,other,0
30,flowers,1
31,can,0
32,hardly,0
33,perfume,0
34,naturally,0
36,unless,0
37,you,0
38,use,0
39,a,0
40,great,0
41,quantity,0
42,of,0
43,them,0
45,and,0
46,add,0
47,to,0
48,them,0
49,some,0
50,essence,1
51,of,0
52,the,0
53,same,0
54,flowers,1
56,as,0
57,you,0
59,ll,0
60,see,0
61,in,0
62,the,0
63,receipts,0
64,for,0
65,perfuming,0
66,snuff,1
68,but,0
69,when,0
70,all,0
71,is,0
72,done,0
73,the,0
74,smell,1
75,never,0
76,last,0
77,long,0
79,as,0
80,in,0
81,other,0
82,perfumes,0
83,nan,0
84,get,0
85,a,0
86,wooden,0
87,box,0
89,as,0
90,big,0
91,as,0
92,you,0
93,have,0
94,occasion,0
95,for,0
97,line,0
98,within,0
99,with,0
100,dry,0
101,paper,0
103,lay,0
104,in,0
105,it,0
106,a,0
107,bed,0
108,of,0
109,snuff,1
110,an,0
111,inch,0
112,thick,0
114,then,0
115,a,0
116,bed,0
117,of,0
118,flowers,1
120,and,0
121,so,0
122,along,0
123,till,0
124,you,0
125,have,0
126,no,0
127,more,0
128,of,0
129,it,0
131,let,0
132,it,0
133,lay,0
134,so,0
135,in,0
136,the,0
137,flowers,1
138,twenty,0
139,four,0
140,hours,0
142,then,0
143,searce,0
144,your,0
145,snuff,1
147,to,0
148,take,0
149,out,0
150,the,0
151,flowers,1
153,and,0
154,renew,0
155,them,0
156,at,0
157,the,0
158,same,0
159,time,0
161,continue,0
162,so,0
163,doing,0
164,four,0
165,or,0
166,five,0
167,days,0
169,and,0
170,when,0
171,you,0
172,think,0
173,your,0
174,snuff,1
175,is,0
176,perfum,0
178,d,0
179,enough,0
180,with,0
181,flowers,1
183,keep,0
184,it,0
185,very,0
186,close,0
187,in,0
188,your,0
189,boxes,0
191,in,0
192,a,0
193,very,0
194,dry,0
195,place,0
197,don,0
199,t,0
200,meddle,0
201,with,0
202,it,0
203,when,0
204,the,0
205,flowers,1
206,are,0
207,within,0
209,because,0
210,it,0
211,will,0
212,not,0
213,heat,0
214,nan,0
215,another,0
216,manner,0
217,of,0
218,perfuming,0
219,snuff,1
220,with,0
221,flowers,1
222,nan,0
223,get,0
224,a,0
225,good,0
226,quantity,0
227,of,0
228,sheets,0
229,of,0
230,paper,0
231,dryed,0
232,before,0
233,the,0
234,fire,0
236,of,0
237,the,0
238,bigness,0
239,and,0
240,shape,0
241,or,0
242,thereabouts,0
243,of,0
244,your,0
245,boxes,0
247,prick,0
248,them,0
249,all,0
250,over,0
251,with,0
252,a,0
253,big,0
254,pin,0
256,then,0
257,to,0
258,perfume,0
259,your,0
260,snuff,1
261,with,0
262,flowers,1
264,lay,0
265,a,0
266,bed,0
267,of,0
268,them,0
269,an,0
270,inch,0
271,thick,0
272,in,0
273,the,0
274,box,0
276,and,0
277,over,0
278,one,0
279,sheet,0
280,of,0
281,that,0
282,paper,0
284,and,0
285,over,0
286,the,0
287,paper,0
288,a,0
289,bed,0
290,of,0
291,flowers,1
293,and,0
294,another,0
295,sheet,0
296,of,0
297,paper,0
298,over,0
299,the,0
300,flowers,1
302,lay,0
303,over,0
304,that,0
305,sheet,0
306,another,0
307,bed,0
308,of,0
309,snuff,1
311,and,0
312,continue,0
313,so,0
314,doing,0
315,till,0
316,you,0
317,have,0
318,none,0
319,left,0
321,so,0
322,the,0
323,flowers,1
324,are,0
325,between,0
326,two,0
327,papers,0
329,and,0
330,the,0
331,snuff,1
332,too,0
334,without,0
335,touching,0
336,the,0
337,flowers,1
339,and,0
340,by,0
341,that,0
342,means,0
343,the,0
344,snuff,1
345,takes,0
346,naturally,0
347,the,0
348,smell,1
349,of,0
350,the,0
351,flowers,1
353,because,0
354,the,0
355,same,0
356,smell,1
357,is,0
358,not,0
359,corrupted,0
360,or,0
361,alter,0
363,d,0
364,by,0
365,the,0
366,snuff,1
367,nan,0
368,snuff,1
369,perfum,0
371,d,0
372,with,0
373,buds,0
374,of,0
375,roses,0
376,nan,0
377,take,0
378,as,0
379,much,0
380,buds,0
381,of,0
382,roses,0
383,as,0
384,you,0
385,will,0
387,pluck,0
388,out,0
389,the,0
390,green,0
391,knots,0
393,and,0
394,in,0
395,their,0
396,room,0
397,put,0
398,as,0
399,many,0
400,cloves,0
402,then,0
403,throw,0
404,them,0
405,in,0
406,a,0
407,glass-bottle,0
408,well,0
409,stopt,0
411,expose,0
412,the,0
413,bottle,0
414,to,0
415,the,0
416,hot,0
417,sun,0
418,three,0
419,weeks,0
420,or,0
421,a,0
422,month,0
424,you,0
425,may,0
426,use,0
427,them,0
428,after,0
429,to,0
430,perfume,0
431,your,0
432,snuff,1
434,being,0
435,cleansed,0
436,they,0
437,will,0
438,give,0
439,a,0
440,very,0
441,sweet,0
442,smell,1
443,to,0
444,it,0
445,nan,0
446,snuff,1
447,perfum,0
449,d,0
450,with,0
451,a,0
452,great,0
453,many,0
454,sorts,0
455,of,0
456,flowers,1
457,nan,0
458,nothing,0
459,else,0
460,is,0
461,to,0
462,be,0
463,done,0
465,but,0
466,to,0
467,mix,0
468,together,0
469,snuff,1
470,perfum,0
472,d,0
473,with,0
474,several,0
475,sweet,0
476,flowers,1
478,and,0
479,to,0
480,prepare,0
481,it,0
482,so,0
483,well,0
484,by,0
485,more,0
486,or,0
487,less,0
488,of,0
489,it,0
491,that,0
492,you,0
493,can,0
494,hardly,0
495,discern,0
496,which,0
497,smell,1
498,prevails,0
500,and,0
502,tis,0
503,done,0
504,nan,0
505,get,0
506,several,0
507,sorts,0
508,of,0
509,sieves,0
511,some,0
512,of,0
513,thin,0
514,others,0
515,of,0
516,very,0
517,thick,0
518,cloth,0
520,and,0
521,so,0
522,according,0
523,to,0
524,the,0
525,courseness,0
526,of,0
527,your,0
528,cloth,0
530,you,0
532,ll,0
533,make,0
534,the,0
535,grains,0
536,of,0
537,your,0
538,snuff,1
539,in,0
540,passing,0
541,it,0
542,through,0
544,you,0
545,must,0
546,not,0
547,searce,0
548,it,0
549,but,0
550,when,0
551,it,0
552,is,0
553,perfum,0
555,d,0
556,with,0
557,flowers,1
558,nan,0
559,the,0
560,true,0
561,spanish,0
562,snuff,1
563,is,0
564,very,0
565,fine,0
566,and,0
567,redish,0
569,to,0
570,make,0
571,it,0
572,take,0
573,red,0
574,snuff,1
575,in,0
576,grains,0
578,beat,0
579,it,0
580,in,0
581,a,0
582,mortar,0
584,and,0
585,pass,0
586,it,0
587,very,0
588,fine,0
589,through,0
590,a,0
591,sieve,0
593,and,0
594,being,0
595,cleansed,0
596,before,0
597,it,0
598,is,0
599,colour,0
601,d,0
603,as,0
604,i,0
605,prescribe,0
606,in,0
607,the,0
608,beginning,0
609,of,0
610,this,0
611,treatise,0
613,perfume,0
614,it,0
615,only,0
616,with,0
617,flowers,1
619,then,0
620,with,0
621,some,0
622,spanish,0
623,perfume,0
624,or,0
625,other,0
627,and,0
629,tis,0
630,done,0
631,nan,0
632,the,0
633,oil,0
634,distilled,0
635,in,0
636,britain,0
637,from,0
638,chamomile,1
639,flowers,1
640,nan,0
641,the,0
642,oil,0
643,distilled,0
644,in,0
645,britain,0
646,from,0
647,the,0
648,flowers,1
649,of,0
650,lavandula,0
651,vera,0
652,nan,0
653,a,0
654,good,0
655,pot-hearbe,0
656,nan,0
657,iuly-flowers,0
659,commonly,0
660,called,0
661,gilly-flowers,0
663,or,0
664,cloue-iuly-flowers,0
665,(,0
666,i,0
667,call,0
668,them,0
669,so,0
671,because,0
672,they,0
673,flowre,0
674,in,0
675,iuly,0
676,),0
677,they,0
678,haue,0
679,the,0
680,name,0
681,of,0
682,cloues,0
684,of,0
685,their,0
686,sent,0
687,nan,0
688,their,0
689,vse,0
690,is,0
691,much,0
692,in,0
693,ornament,0
695,and,0
696,conforting,0
697,the,0
698,spirits,0
700,by,0
701,the,0
702,sence,0
703,of,0
704,smelling,1
705,nan,0
706,iuly,0
707,flowers,1
708,of,0
709,the,0
710,wall,0
712,or,0
713,wall-iuly-flowers,0
714,wall-flowers,0
716,or,0
717,bee-flowers,0
719,or,0
720,winter-iuly-flowers,0
722,because,0
723,growing,0
724,in,0
725,the,0
726,walles,0
728,euen,0
729,in,0
730,winter,0
732,and,0
733,good,0
734,for,0
735,bees,0
737,will,0
738,grow,0
739,euen,0
740,in,0
741,stone,0
742,walls,0
744,they,0
745,will,0
746,seeme,0
747,dead,0
748,in,0
749,summer,0
751,and,0
752,yet,0
753,reuiue,0
754,in,0
755,winter,0
756,nan,0
757,slips,0
758,twined,0
759,as,0
760,isop,0
761,and,0
762,sage,0
764,would,0
765,take,0
766,best,0
767,at,0
768,michael-tide,0
769,nan,0
770,this,0
771,flower,1
772,is,0
773,good,0
774,for,0
775,bees,0
777,most,0
778,comfortable,0
779,for,0
780,smelling,1
782,except,0
783,roses,0
785,and,0
786,kept,0
787,dry,0
789,is,0
790,as,0
791,strong,0
792,after,0
793,a,0
794,yeere,0
796,and,0
797,when,0
798,it,0
799,is,0
800,gathered,0
801,nan,0
802,we,0
803,have,0
804,the,0
805,musk-ox,0
807,the,0
808,musky,1
809,mole,0
811,several,0
812,species,0
813,called,0
814,musk-rat,0
816,the,0
817,musk-duck,0
819,the,0
820,muskbeetle,0
822,while,0
823,among,0
824,plants,0
825,which,0
826,have,0
827,received,0
828,their,0
829,names,0
830,from,0
831,a,0
832,real,0
833,or,0
834,supposed,0
835,musky,1
836,odor,1
837,are,0
839,besides,0
840,several,0
841,that,0
842,are,0
843,called,0
844,musk-plant,0
846,the,0
847,musk-rose,0
849,the,0
850,musk-hyacinth,0
852,the,0
853,musk-mallow,0
855,the,0
856,musk-orchid,0
858,the,0
859,musk-melon,0
861,the,0
862,muskcherry,0
864,the,0
865,musk-pear,0
867,the,0
868,musk-plum,0
870,muskat,0
871,and,0
872,muscatels,0
874,musk-seed,0
876,musk-tree,0
878,musk-wood,0
880,etc,0
882,2,0
883,but,0
884,a,0
885,musky,1
886,odor,1
887,is,0
888,not,0
889,merely,0
890,widespread,0
891,in,0
892,nature,0
893,among,0
894,plants,0
895,and,0
896,the,0
897,lower,0
898,animals,0
900,it,0
901,is,0
902,peculiarly,0
903,associated,0
904,with,0
905,man,0
906,nan,0
907,it,0
908,consists,0
909,of,0
910,wash-leather,0
911,steeped,0
912,in,0
913,ottos,0
914,of,0
915,neroli,1
917,rose,1
919,santal,0
921,lavender,1
923,verbena,0
925,bergamot,0
927,cloves,0
929,and,0
930,cinnamon,0
932,subsequently,0
933,smeared,0
934,with,0
935,civet,0
936,and,0
937,musk,1
938,nan,0
939,expresse,0
940,a,0
941,good,0
942,quantity,0
943,of,0
944,the,0
945,iuice,0
946,thereof,0
948,set,0
949,it,0
950,on,0
951,the,0
952,fire,0
954,and,0
955,giue,0
956,it,0
957,onely,0
958,a,0
959,walme,0
960,or,0
961,two,0
963,then,0
964,it,0
965,will,0
966,grow,0
967,cleere,0
969,before,0
970,it,0
971,be,0
972,cooled,0
974,pour,0
975,away,0
976,the,0
977,cleerest,0
979,filter,0
980,with,0
981,a,0
982,peece,0
983,of,0
984,cotton,0
986,and,0
987,then,0
988,euaporate,0
989,your,0
990,filtred,0
991,iuyce,0
993,till,0
994,it,0
995,come,0
996,to,0
997,a,0
998,thicke,0
999,substance,0
1001,and,0
1002,thus,0
1003,you,0
1004,shal,0
1005,haue,0
1006,a,0
1007,most,0
1008,excellent,0
1009,extracte,0
1010,of,0
1011,the,0
1012,rose,1
1014,gilliflower,0
1016,&,0
1017,c,0
1019,with,0
1020,the,0
1021,perfect,0
1022,sent,0
1023,and,0
1024,taste,0
1025,of,0
1026,the,0
1027,flower,1
1029,whereas,0
1030,the,0
1031,common,0
1032,waie,0
1033,is,0
1034,to,0
1035,make,0
1036,the,0
1037,extracte,0
1038,eyther,0
1039,by,0
1040,spirit,0
1041,of,0
1042,wine,0
1043,faire,0
1044,water,0
1046,the,0
1047,water,0
1048,of,0
1049,the,0
1050,plant,0
1052,or,0
1053,some,0
1054,kind,0
1055,of,0
1056,menstruum,0
1058,20,0
1059,nan,0
1060,drie,0
1061,the,0
1062,hearbe,0
1063,or,0
1064,flower,1
1066,and,0
1067,distill,0
1068,the,0
1069,same,0
1070,in,0
1071,faire,0
1072,water,0
1073,in,0
1074,a,0
1075,limbecke,0
1077,draw,0
1078,no,0
1079,longer,0
1080,then,0
1081,you,0
1082,find,0
1083,sent,0
1084,in,0
1085,the,0
1086,water,0
1087,that,0
1088,issueth,0
1090,reiterate,0
1091,that,0
1092,water,0
1093,vpon,0
1094,fresh,0
1095,herbes,0
1097,and,0
1098,distil,0
1099,as,0
1100,before,0
1102,diuiding,0
1103,the,0
1104,sweetest,0
1105,from,0
1106,the,0
1107,rest,0
1109,21,0
1110,nan,0
1111,after,0
1112,you,0
1113,haue,0
1114,digested,0
1115,your,0
1116,rose,1
1117,leaues,0
1118,by,0
1119,the,0
1120,speace,0
1121,of,0
1122,3,0
1124,moneths,0
1126,sicut,0
1127,ante,0
1129,num,0
1131,13,0
1133,eyther,0
1134,in,0
1135,barrels,0
1136,or,0
1137,hookers,0
1139,then,0
1140,distill,0
1141,the,0
1142,with,0
1143,faire,0
1144,water,0
1145,in,0
1146,a,0
1147,limbeck,0
1149,draw,0
1150,so,0
1151,long,0
1152,as,0
1153,you,0
1154,finde,0
1155,anie,0
1156,excellent,0
1157,smell,1
1158,of,0
1159,the,0
1160,rose,1
1162,then,0
1163,diuide,0
1164,the,0
1165,fatty,0
1166,oile,0
1167,that,0
1168,fleeteth,0
1169,on,0
1170,the,0
1171,top,0
1172,of,0
1173,the,0
1174,rose,1
1175,water,0
1177,and,0
1178,so,0
1179,you,0
1180,haue,0
1181,both,0
1182,excellent,0
1183,oile,0
1184,of,0
1185,roses,0
1187,and,0
1188,also,0
1189,good,0
1190,rosewater,0
1191,togither,0
1193,and,0
1194,you,0
1195,shall,0
1196,also,0
1197,haue,0
1198,more,0
1199,water,0
1200,then,0
1201,by,0
1202,the,0
1203,ordinarie,0
1204,way,0
1206,and,0
1207,this,0
1208,rosewater,0
1209,extendeth,0
1210,farther,0
1211,in,0
1212,physicall,0
1213,compositions,0
1215,and,0
1216,the,0
1217,other,0
1218,serueth,0
1219,best,0
1220,for,0
1221,perfumes,0
1222,and,0
1223,casting,0
1224,bottles,0
1225,nan,0
1226,it,0
1227,is,0
1228,invariably,0
1229,based,0
1230,on,0
1231,coumarin,0
1233,modified,0
1234,by,0
1235,lavender,1
1237,bergamot,0
1239,and,0
1240,other,0
1241,perfumes,0
1243,according,0
1244,to,0
1245,the,0
1246,exact,0
1247,note,0
1248,the,0
1249,perfumer,0
1250,wishes,0
1251,to,0
1252,give,0
1253,to,0
1254,his,0
1255,product,0
1256,nan,0
1257,all,0
1258,those,0
1259,who,0
1260,have,0
1261,travelled,0
1262,in,0
1263,that,0
1264,season,0
1265,on,0
1266,the,0
1267,coast,0
1268,of,0
1269,genoa,0
1270,will,0
1271,no,0
1272,doubt,0
1273,remember,0
1274,what,0
1275,charming,0
1276,bouquets,0
1277,and,0
1278,garlands,0
1279,are,0
1280,made,0
1281,of,0
1282,the,0
1283,cassie,0
1284,intermixed,0
1285,with,0
1286,other,0
1287,flowers,1
1288,nan,0
1289,in,0
1290,africa,0
1292,and,0
1293,principally,0
1294,in,0
1295,tunis,0
1297,an,0
1298,essential,0
1299,oil,0
1300,of,0
1301,cassie,0
1302,is,0
1303,made,0
1305,which,0
1306,is,0
1307,sold,0
1308,at,0
1309,about,0
1310,£,0
1311,"4,00",0
1312,per,0
1313,ounce,0
1315,but,0
1316,french,0
1317,and,0
1318,italian,0
1319,flowers,1
1320,are,0
1321,not,0
1322,sufficiently,0
1323,powerful,0
1324,to,0
1325,yield,0
1326,an,0
1327,essence,1
1328,nan,0
1329,the,0
1330,violet,1
1331,is,0
1332,one,0
1333,of,0
1334,the,0
1335,most,0
1336,charming,0
1337,odours,1
1338,in,0
1339,nature,0
1341,and,0
1342,well,0
1343,might,0
1344,shakspeare,0
1345,exclaim,0
1346,—,0
1347,-,0
1348,sweet,0
1349,thief,0
1351,whence,0
1352,didst,0
1353,thou,0
1354,steal,0
1355,thy,0
1356,sweet,0
1357,that,0
1358,smells,1
1359,nan,0
1360,it,0
1361,flowers,1
1362,from,0
1363,the,0
1364,beginning,0
1365,of,0
1366,february,0
1367,to,0
1368,the,0
1369,middle,0
1370,of,0
1371,april,0
1373,and,0
1374,each,0
1375,plant,0
1376,yields,0
1377,but,0
1378,a,0
1379,few,0
1380,ounces,0
1381,of,0
1382,blossoms,0
1384,which,0
1385,are,0
1386,culled,0
1387,twice,0
1388,a,0
1389,week,0
1390,after,0
1391,sunrise,0
1392,nan,0
1393,jonquil,0
