Unnamed: 0,sentence,Smell Word,Flower,Flower Smell,Flower Quality
0,nan ,0,0,0,0
1,Snuff Perfum ' d with Flowers nan ,1,1,1,0
2,"THE Flowers much used for Perfuming Snuff , are Orange-flower water , Jasmin , common Roses , musqued Roses and Tuberoses , other Flowers can hardly Perfume naturally , unless you use a great quantity of them , and add to them some Essence of the same Flowers , as you ' ll see in the Receipts for Perfuming Snuff ; but when all is done the smell never last long , as in other Perfumes nan ",1,1,1,1
3,Here is the manner how to use them in Perfuming Snuff nan ,1,0,0,0
4,"Get a Wooden Box , as big as you have occasion for , line within with dry Paper , lay in it a Bed of Snuff an Inch thick , then a Bed of Flowers , and so along till you have no more of it ; let it lay so in the Flowers Twenty four Hours : then searce your Snuff , to take out the Flowers , and renew them at the same time ; continue so doing four or five days ; and when you think your Snuff is Perfum ' d enough with Flowers , keep it very close in your Boxes , in a very dry place ; don ' t meddle with it when the Flowers are within , because it will not heat nan ",1,1,1,0
5,Another manner of Perfuming Snuff with Flowers nan ,1,1,1,0
6,"GET a good quantity of Sheets of Paper dryed before the Fire , of the bigness and shape or thereabouts of your Boxes ; prick them all over with a big Pin ; then to Perfume your Snuff with Flowers , lay a Bed of them an Inch thick in the Box ; and over one Sheet of that Paper , and over the Paper a Bed of Flowers , and another sheet of Paper over the Flowers ; lay over that sheet another Bed of Snuff , and continue so doing till you have none left : So the Flowers are between two Papers , and the Snuff too , without touching the Flowers ; and by that means the Snuff takes naturally the Smell of the Flowers , because the same Smell is not corrupted or alter ' d by the Snuff nan ",1,1,1,0
7,"Change your Flowers according to the Plenty you have of them ; and when you take them out , take up only the sheets of Paper , and pass your Snuff through a fine hair Sieve to let your Snuff through and keep in the Flowers nan ",0,1,0,0
8,"Flower it so four or five days , and ' tis done nan ",0,0,0,0
9,Snuff perfum ' d with Buds of Roses nan ,1,1,1,0
10,"TAKE as much Buds of Roses as you will , pluck out the green knots , and in their room put as many Cloves : Then throw them in a Glass-bottle well stopt , expose the Bottle to the hot sun three Weeks or a Month ; you may use them after to perfume your Snuff , being cleansed they will give a very sweet Smell to it nan ",1,1,1,0
11,Snuff perfum ' d with a great many sorts of Flowers nan ,1,1,1,0
12,"NOthing else is to be done , but to mix together Snuff perfum ' d with several sweet Flowers , and to prepare it so well by more or less of it , that you can hardly discern which Smell prevails , and ' tis done nan ",1,1,1,0
13,The manner of making Snuff in Grains of different bigness nan ,0,0,0,0
14,"GET several sorts of Sieves , some of thin others of very thick Cloth , and so according to the courseness of your Cloth , you ' ll make the Grains of your Snuff in passing it through ; you must not searce it but when it is perfum ' d with Flowers nan ",1,1,1,0
15,Fine Spanish Snuff nan ,0,0,0,0
16,"THE true Spanish Snuff is very fine and redish , to make it take red Snuff in Grains , beat it in a Mortar , and pass it very fine through a Sieve ; and being cleansed before it is colour ' d , as I prescribe in the beginning of this Treatise , perfume it only with Flowers , then with some Spanish Perfume or other , and ' tis done nan ",1,1,1,0
0,nan ,0,0,0,0
1,OLEUM AMYGDALJE nan ,0,0,0,0
2,Almond Oil nan ,0,0,0,0
3,The oil expressed from the bitter or sweet almond nan ,0,0,0,0
4,"Thin , pale yellow , nearly inodorous , with a bland oleaginous nutty taste nan ",0,0,0,0
5,"Used in preparing Oleum Phosphoratum , Unguenhim Cetacei , Uncjuentum Ilesince , and Unguenhm , Simplex , and the preparations containing it nan ",0,0,0,0
6,OLEUM ANETHI nan ,0,0,0,0
7,Oil of Dill nan ,0,0,0,0
8,The oil distilled in Britain from dill fruit nan ,0,0,0,0
9,"Colour pale yellow , odour pungent , taste hot and sweetish nan ",1,0,0,0
10,OLEUM ANISI nan ,0,0,0,0
11,Oil of Anise nan ,0,0,0,0
12,The oil distilled in Europe from anise fruit ; or in China from star-anise fruit nan ,0,0,0,0
13,"Colourless or very pale yellow ; with the odour of the fruit , and an aromatic sweetish taste nan ",1,0,0,0
14,"The ordinary oil of anise congeals at temperatures between 50 ° and 60 ° Fahr . ( 10 ° to 15.5 ° C ) , and may remain solid at 62 ° or 63 ° Fahr . ( 16.7 ° to 17.2 ° C . ) ; oil of star-anise only becomes solid at a few degrees above the freezing-point of water nan ",0,0,0,0
15,"Used in preparing Essentia Anisi , Tinctura Camphorae Composita , and Tinctura Opii Ammoniata nan ",0,0,0,0
16,OLEUM ANTHEMIDIS nan ,0,0,0,0
17,Oil of Chamomile nan ,0,1,0,0
18,The oil distilled in Britain from chamomile flowers nan ,0,1,1,0
19,"Pale blue or greenish-blue , but gradually becoming yellowish brown ; with the peculiar aromatic taste and odour of the flowers nan ",1,1,0,0
20,Used in preparing Extractum Anthemidis nan ,0,0,0,0
21,OLEUM CAJUPUTI nan ,0,0,0,0
22,Oil of Cajupnt nan ,0,0,0,0
23,Nat nan ,0,0,0,0
24,"Ord . , Mtrtaceae nan ",0,0,0,0
25,The oil distilled from the leaves of Melaleuca minor nan ,0,0,0,0
26,"A transparent limpid very volatile pale bluish-green liquid , with a strong penetrating agreeable camphoraceous odour , and a warm bitterish aromatic camphoraceous taste succeeded by a sensation of coldness in the mouth nan ",1,0,0,0
27,Used in preparing Linimentum Crotonis and Spiritus Cajuputi nan ,0,0,0,0
28,Powerful stimulant and antispasmodic nan ,0,0,0,0
29,OLEUM CARTUI nan ,0,0,0,0
30,Oil of Caraway nan ,0,0,0,0
31,The oil distilled in Britain from caraway fruit nan ,0,0,0,0
32,"Colourless or pale yellow when recent , but gradually becoming darker , with the odour of the fruit , and a spicy somewhat acrid taste nan ",1,0,0,0
33,Used in preparing Confectio Scammonii and Pilula Aloes Barbadensis nan ,0,0,0,0
34,OLEUM CARYOPHYLLI nan ,0,0,0,0
35,Oil of Cloves nan ,0,0,0,0
36,The oil distilled in Britain from cloves nan ,0,0,0,0
37,"Colourless or pale yellow when recent , but gradually becoming reddish-brown , having in a high degree the odour and taste of cloves nan ",1,0,0,0
38,Sinks in water nan ,0,0,0,0
39,"Used in preparing Confectio Scammonii , Pilula Colocynthidis Composita , and Pilula Colocynthidis et Hyoscyami nan ",0,0,0,0
40,OLEUM CINNAMOMI nan ,0,0,0,0
41,Oil of Cinnamon nan ,0,0,0,0
42,The oil distilled from cinnamon bark nan ,0,0,0,0
43,"Yellowish when recent , but gradually becoming cherry-red , having the odour and taste of cinnamon bark nan ",1,0,0,0
44,Sinks in water nan ,0,0,0,0
45,Used in preparing Spiritus Cinnamomi nan ,0,0,0,0
46,"Dose . — Of all the above oils , and of many following , 1 to 4 minims nan ",0,0,0,0
47,OLEUM COPAIBS nan ,0,0,0,0
48,Oil of Copaiva nan ,0,0,0,0
49,The oil distilled from copaiva nan ,0,0,0,0
50,"Colourless or pale yellow , with the odour and taste of copaiva nan ",1,0,0,0
51,Dose . — 5 to 20 minims nan ,0,0,0,0
52,OLEUM CORIANDRI nan ,0,0,0,0
53,Oil of Coriander nan ,0,0,0,0
54,The oil distilled in Britain from coriander fruit nan ,0,0,0,0
55,"Pale yellow or colourless , having the odour of the fruit and a mild aromatic taste nan ",1,0,0,0
56,Used in preparing Syrupus Sennae nan ,0,0,0,0
57,OLEUM CROTONIS nan ,0,0,0,0
58,Croton Oil nan ,0,0,0,0
59,Nat nan ,0,0,0,0
60,"Ord . , Euphorbiaceae nan ",0,0,0,0
61,The oil expressed in Britain from the seeds of Croton Tiglium nan ,0,0,0,0
62,"Brownish-yellow to dark reddish-brown , fluorescent , with a viscid consistence which is increased by age , a faint , peculiar , somewhat rancid , disagreeable odour , and an oily acrid taste nan ",1,0,0,0
63,Entirely soluble in alcohol nan ,0,0,0,0
64,Contains Crotonic Acid nan ,0,0,0,0
65,Used in preparing Liniment um Crotonis nan ,0,0,0,0
66,"Powerful irritant , drastic purgative nan ",0,0,0,0
67,"Dose . — 1 / 3 to 1 minim , placed on the tongue , or in pill with crumb of bread nan ",0,0,0,0
68,OLEUM CUBEBAE nan ,0,0,0,0
69,Oil of Cubebs nan ,0,0,0,0
70,Nat nan ,0,0,0,0
71,"Ord . , Piperacej : nan ",0,0,0,0
72,The oil distilled in Britain from cubebs nan ,0,0,0,0
73,"Colourless or greenish-yellow , with the odour and taste of cubebs nan ",1,0,0,0
74,Contains Cubebin nan ,0,0,0,0
75,Stimulant to mucous membranes ; given in gonorrhoea and obstinate sneezing nan ,0,0,0,0
76,Dose . — 5 to 20 minims nan ,0,0,0,0
77,OLEUM EUCALYPTI nan ,0,0,0,0
78,Oil of Eucalyptus nan ,0,0,0,0
79,Nat nan ,0,0,0,0
80,"Ord . , Myrtaceae nan ",0,0,0,0
81,"The oil distilled from the fresh leaves of Eucalyptus Globulus , Eucalyptus amygdalina , and probably some other species of Eucalyptus nan ",0,0,0,0
82,"Colourless or pale straw-coloured , becoming darker and thicker by exposure nan ",0,0,0,0
83,"It has an aromatic odour , and a spicy and pungent flavour , leaving a sensation of coldness in the mouth nan ",1,0,0,0
84,Used in preparing Ungnentuin Eucalypti nan ,0,0,0,0
85,"Possesses powerful ozonizing and anti-malarial influence ; destructive to low organic growths , but not caustic to the skin nan ",0,0,0,0
86,OLEUM JUNIPEHI nan ,0,0,0,0
87,Oil of Juniper nan ,0,0,0,0
88,Nat nan ,0,0,0,0
89,"Ord . , Coniferae nan ",0,0,0,0
