,sentence,Smell Word,Flower,Flower Smell,Flower Quality
0,"stunk heliotrope )  cup  tablespoons (. ounces) unsweetened dark chocolate, rinsed and drained (this contains less sugar than other sugar free cheeses).

) In a separate",1,1,1,0
1,"frowsy snowdrops. You will notice a darkening of the sunlight, and that is what you want to see before you go home.

As you take a deep breath, I let you in on the hidden secrets of Snow",1,1,1,0
2,"stinking azalea and white vinegar as a way to help detoxify the bacteria and their toxins from their environment.

The vinegar is then applied to the skin, making it more effective.

Cleansing the skin
",1,1,1,0
3,"whiff heliotrope and a double dose of lithium (. mg/kg of body weight) to improve performance. When measured on subjects who were taking a normal dose of lithium, the median time to rest, to complete",1,1,1,0
4,"fragranced pansies made of dry milk and vanilla, sprinkled throughout. The flavors are pretty much what would come out with a big, decadent dessert (see below!).


Paprika was my favorite part of this recipe",1,1,1,0
5,"aroma lily. She looked the most beautiful female to us, but I could tell from her looks that she probably was wearing only a little black blouse that I couldn't decide to take pictures of. She was really beautiful and much",1,1,1,0
6,"scent daffodil on its cheek – is that any one of which you could have told us about it?

We've had the same experience, and it's so wrong. The human body doesn't know when to touch",1,1,1,0
7,"fragrant azalea (Zucchini & Sliced Brussels Sprouts)

Serve with broccoli or kale.

Print Author: Heather P. Ingredients / lb broccoli (cut into about  /",1,1,1,0
8,"odourless petunia

(.%)

(.%)

(.%)

(.%)

(.%)

(.%)
",1,1,1,0
9,"whiffed poppy"") on the inside. I did not know whether the man was named ""John F Kennedy"" or ""Maddie McPhee, like Kennedy."" They exchanged vows in the dark room at JFK Park and that is",1,1,1,0
10,"aromas lavender. The most important role of this ingredient in a smooth product is not only in maintaining a smooth and creamy texture, but also in making the finished product more silky and flavorful for the taste-makers. I will say",1,1,1,0
11,fragranced primroses de mízal de la mêmenda nel y cemeterias y lascales se el casos la mensa de las otro lomas que se podri,1,1,1,0
12,"frowzy mignonnette

http://www.bistobotlive.com/g-art-videos-with-gazzo

http://www.bistobotlive.com/videos/",1,1,1,0
13,"smelled columbine, which had a very strange smell, came out. It had not been in the presence of the doctor and was not the same columbine as I had seen. After I had got the doctor to my room",1,1,1,0
14,musk wallflower - The Sleeping Giant The Tiny Bang Story The Tiny Tale  The Tomorrow War The Tower Of Elements The Town of Light The Trail: Frontier Challenge The Travels of Marco Polo The Treasures of Montezuma  The Treasures,1,1,1,0
15,"odour cornflower oil. Also, some varieties of the maize, a grass often used for the meal, are hardier in flavor. If you make your own, add  to  to  tablespoons of olive oil,  teaspoon of",1,1,1,0
16,"whiff heliotrope) and is the most commonly used method by which to get a good quality, well-trained female student. She is also very flexible. She is well suited for many different jobs and needs, and she is",1,1,1,0
17,"smelling lavender and lather with lemon tumeric to ensure that it works well.

I used  gallon orange juice per quart of quart of ice,  teaspoons of baking soda and  cup ice cube for ice packs.
",1,1,1,0
18,"smelling wallflower. But on this level, they actually got it! ""In the beginning, there are no words to explain this,"" says Ms. Egan. When she thought about how the two groups would fit into one person's",1,1,1,0
19,"pungency honeysuckles. In some of the same states where I lived that gave me such a chance, I am also in some other states that have similar problems that I can't identify with any greater amount of force and force that",1,1,1,0
20,"redolent lily flowers (Vernay's Island)

(Vernay's Island) Lillium

Lillium Cucumber and Pineapple (Yurache Island)

and Pineapple (",1,1,1,0
21,"fragranced mayflower.

Kochbean are often the strongest in terms of size, shape and texture! We've developed these plants over the last year, and their yields are now even better. We will be showcasing them",1,1,1,0
22,olfaction lilac | Zig: | Entered Level  of a ziggurat  | Zig: | Reached skill level  in Armour  | Zig: | Entered Level  of a ziggurat  | Zig,1,1,1,0
23,"odors cornflower. So they decided not to use it, I guess for now. I love it, I will buy it again

Thanks!

I didn't get a gift but one of my friends told me about it",1,1,1,0
24,"snuffing lily. She made herself sit down at his side. ""I'm sorry?"" she asked her friend. ""I was just curious. Your parents passed away in a coma, and the one left behind is your mom's",1,1,1,0
25,sniffed azalea [::] [Local] <Ricochet> he says the problem is you can't find the right plant [::] [Local] <FancyJ,1,1,1,0
26,"deodorized anemone (the skin in the brain's cornea) that was toxic and deadly. It also caused irreversible brain damage to the heart and respiratory system.""

While the study did not specifically show the effects of the",1,1,1,0
27,"redolence mignonnette

'The Man That Saved His Family'

Enlarge this image toggle caption Stephen Laub/AP Stephen Laub/AP

The National Guard is a veteran's militia. It has",1,1,1,0
28,"aroma primroses, and was reported using the procedure with a white blood cell count greater than  ng/ml. For total angina, our normalized angina assay was performed a week earlier than that specified in the manuscript.",1,1,1,0
29,"smelly narcissus."" I had to look at her and say, ""Yes. You are an addict. I'm so sorry and I'm just so fucking sorry for that."" So I've gotta start talking, saying that she's been",1,1,1,0
30,"fragrance narcissus, which involves the belief that individuals are intrinsically unlovable, even if they can't prove themselves or even understand why. But it's also a problem when the narcissist sees the world through distorted eyes. They see",1,1,1,0
31,niffy petunia! (feline) You can find it in their place. (feline kitten) I'm getting a little worried about you! (feline kitten) I'm not worried at all but please you'll find,1,1,1,0
32,"stank poppy.

""I just think it's important for those who are very low on energy, even though they could use a bit of their social support – whether of alcohol, drugs or drugs that could have been taken [from",1,1,1,0
33,"odourless heliotrope.

As I said earlier, it looked like we were playing a good game but they were so far off and I wasn't really expecting that.

On why this was the case:
",1,1,1,0
34,"fragrance columbine is recommended for those under .

There are currently no effective treatments for this condition.

What are the symptoms of the columbine parasite that infects your children?

These are the",1,1,1,0
35,"niff petunia, and it was just so awesome because she felt like... well, who knows? I mean, it felt like... well, that was really... not my cupboard. That was my favorite thing, actually.
",1,1,1,0
36,"funky neroli""

""I'd be fine with some of it.""

Mood

Good!

A bit of pucker is always good!

A bit of fizzle can always make it better",1,1,1,0
37,"funky flowers and fruits, as well as other ""wild and wonderful plants"" to ""make you feel pretty"". I find my love for animals pretty much the best I've ever found. And I often go to the zoo (as I",1,1,1,0
38,"reeking cassies, but you always know. You can make a sweetened apple sauce that combines a dash of cayenne and sugar with a touch of cinnamon. Serve it next to something that makes the apple sauce stand out from the",1,1,1,0
39,"smells rose red.

""Yes,"" he said. ""I must give it a try. Good to see you again! Look, and I will see you this afternoon.""

Mr. Loomark was sitting in his",1,1,1,0
40,"niff lavender, a pink tulle, or a white rose flower. These are available from many varieties and can be used by anyone. However, you may purchase these roses from a variety store instead.

Rosewood

",1,1,1,0
